nohup: ignoring input
INFO 2026-02-24 09:11:25,947 autoreload 56866 124455267594368 Watching for file changes with StatReloader
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 HTTP/2 support not enabled (install the http2 and tls Twisted extras)
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 Configuring endpoint tcp:port=8000:interface=127.0.0.1
INFO 2026-02-24 09:11:26,325 server 56866 124455196194496 Configuring endpoint tcp:port=8000:interface=127.0.0.1
INFO 2026-02-24 09:11:26,326 server 56866 124455196194496 Listening on TCP address 127.0.0.1:8000
INFO 2026-02-24 09:11:26,326 server 56866 124455196194496 Listening on TCP address 127.0.0.1:8000
DEBUG 2026-02-24 09:17:43,435 http_protocol 56866 124455196194496 HTTP b'POST' request for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:43,435 http_protocol 56866 124455196194496 HTTP b'POST' request for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:44,203 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:44,203 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:44,204 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:44,204 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:44,204 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56676]
DEBUG 2026-02-24 09:17:44,204 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56676]
INFO 2026-02-24 09:17:44,204 runserver 56866 124455196194496 HTTP POST /api/v1/users/token/ 200 [0.77, 127.0.0.1:56676]
DEBUG 2026-02-24 09:17:44,232 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,232 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,257 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,257 http_protocol 56866 124455196194496 HTTP 200 response started for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,257 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,257 http_protocol 56866 124455196194496 HTTP close for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,258 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56682]
DEBUG 2026-02-24 09:17:44,258 http_protocol 56866 124455196194496 HTTP response complete for ['127.0.0.1', 56682]
INFO 2026-02-24 09:17:44,258 runserver 56866 124455196194496 HTTP GET /api/v1/users/me/ 200 [0.03, 127.0.0.1:56682]
DEBUG 2026-02-24 09:17:44,554 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56684]
DEBUG 2026-02-24 09:17:44,554 http_protocol 56866 124455196194496 HTTP b'GET' request for ['127.0.0.1', 56684]
